Inventory aging report,,,,,,,,,,Page 1 of 1,,,
,,,,,,,,,,"3/27/2026
10:44 AM",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,0-30 (Days),31-60 (Days),61-90 (Days),91-180 (Days),180+ Prior date,,,,
Item number,Product name,Inventory unit,Configuration,On-hand quantity,P1:Quantity,P2:Quantity,P3:Quantity,P4:Quantity,P5:Quantity,,,,
1000002400,60/DCRD,Bag,MP/MV 80/20 (WITH 75D FILAMINT),3.10,0.00,3.10,0.00,0.00,0.00,,,,
1000002400,60/DCRD,Bag,PV 80/20 MICRO,0.52,0.52,0.00,0.00,0.00,0.00,,,,
1000002420,60/DCMB,Bag,100% CM PAK COTTON,0.30,0.00,0.00,0.00,0.00,0.30,,,,
1000002476,65/SCRD,Bag,PV (80/20) NON COMPACT,14.00,14.00,0.00,0.00,0.00,0.00,,,,
1000002476,65/SCRD,Bag,PV 80/20 NON-COMPACT,183.77,183.77,0.00,0.00,0.00,0.00,,,,
1000002476,65/SCRD,Bag,PV 80:20 Compact,20.00,0.00,20.00,0.00,0.00,0.00,,,,
1000002476,65/SCRD,Bag,PV 90/10,12.00,12.00,0.00,0.00,0.00,0.00,,,,
1000002640,70/SCRD,Bag,MPV 80/20 (MICRO/MICRO),59.00,0.00,0.00,0.00,49.00,10.00,,,,
1000002880,80/SCRD,Bag,MICRO POLYESTER / MICRO VISCOSE (70:30),51.59,51.59,0.00,0.00,0.00,0.00,,,,
1000002880,80/SCRD,Bag,MP / MM 50/50 MICRO,29.00,0.00,0.00,0.00,0.00,29.00,,,,
1000002880,80/SCRD,Bag,MP/MV 65/35 (SUPER MICRO COMPACT),9.56,0.00,0.00,0.00,9.56,0.00,,,,
1000002880,80/SCRD,Bag,PV 80:20 (Micro Poly + Micro Viscose),183.49,1.09,182.39,0.00,0.00,0.00,,,,
1000002880,80/SCRD,Bag,SWISS VISCOSE (100%),2.10,2.10,0.00,0.00,0.00,0.00,,,,
1000002920,80/DCRD,Bag,100% MPP (MICRO POLYESTER),55.00,0.00,0.00,0.00,4.00,51.00,,,,
1000002920,80/DCRD,Bag,MICRO POLYESTER / MICRO VISCOSE (70:30),7.00,7.00,0.00,0.00,0.00,0.00,,,,
1000002920,80/DCRD,Bag,MP / MM 50/50 MICRO,30.00,0.00,0.00,0.00,0.00,30.00,,,,
1000002920,80/DCRD,Bag,PV 80:20 (Micro Poly + Micro Viscose),34.67,34.67,0.00,0.00,0.00,0.00,,,,
1000003200,100/SCRD,Bag,PV 80:20 MICRO,74.00,0.00,60.00,14.00,0.00,0.00,,,,
1000003200,100/SCRD,Bag,SWISS VISCOSE (100%),1.00,1.00,0.00,0.00,0.00,0.00,,,,
1000003240,100/DCRD,Bag,100% MICRO POLYESTER,6.26,0.00,0.00,0.00,0.18,6.08,,,,
1000003240,100/DCRD,Bag,MP/MV 70/30 COMPACT,8.18,0.00,0.00,0.00,8.18,0.00,,,,
1000003280,110/SCRD,Bag,PV (75/25) SUPER MICRO (0.6D),49.00,49.00,0.00,0.00,0.00,0.00,,,,
1000003440,120/SCRD,Bag,PV 80:20 MICRO,56.64,0.00,1.64,55.00,0.00,0.00,,,,
1000003480,120/DCRD,Bag,120/2 MICRO POLY MICRO MODAL 50:50,1.32,0.00,1.32,0.00,0.00,0.00,,,,
1000003700,B-GRADE (BG),Bag,B/GRADE (ECRU),6.00,6.00,0.00,0.00,0.00,0.00,,,,
1000003700,B-GRADE (BG),Bag,B-GRADE ( BG),26.00,26.00,0.00,0.00,0.00,0.00,,,,
1000003700,B-GRADE (BG),Bag,B-GRADE (BG) ECRU,7.00,7.00,0.00,0.00,0.00,0.00,,,,
1000003700,B-GRADE (BG),Bag,B-GRADE (BG) MELANGE,14.00,14.00,0.00,0.00,0.00,0.00,,,,
,,,,,,,,,,,,,
Report summary,,,,Sum On-hand quantity,Sum P1:Quantity,P2:Quantity,P3:Quantity,P4:Quantity,P5:Quantity,,,,
,,,,"69,109.62","23,168.32","6,417.80","4,011.56","11,509.63","24,002.31",,,,
,,,,,,,,,,,,,
