KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
EL71503500,,SENSOR,,-,PNP METAL/12MM-10~36MM-VDC SENSE 3MM-DIA 6MM,-,ATLAS/-/-,KTM-MNSTR,8.00
EL71503500,,SENSOR,,-,PNP PIN TYPE /12MM-10~36V DC-SENSE 7MM,-,-,KTM-MNSTR,8.00
EL71503500,,SENSOR,,-,PNP TYPE /12MM-10V~30V DC,-,-,KTM-MNSTR,8.00
EL71503500,,SENSOR,,-,"PNP, JACK TYPE /10~30V DC 12MM",-,-,KTM-MNSTR,5.00
EL71503500,,SENSOR,,-,"PNP/10~30VDC, SENGSING RANGE 1MM, DIA 12MM",-,-/-/JWF 1213A,KTM-MNSTR,5.00
EL71503500,,SENSOR,,-,"PRESSURE SNHZ-TEC/0~10BAR  «""NPT 24V DC",-,-/USA/-,KTM-MNSTR,5.00
EL71503500,,SENSOR,,-,SENSE 1~3MM NPN/4MM-12~24V DC,-,-,KTM-MNSTR,5.00
EL71503500,,SENSOR,,-,SENSE 1~3MM NPN/6MM-12~24V DC,-,-,KTM-MNSTR,1.00
EL71503500,,SENSOR,,-,SENSE 1~3MM NPN/8MM-12~24V DC,-,-,KTM-MNSTR,5.00
EL71503500,,SENSOR,,-,SENSE 1~3MM PNP/4MM-12~24V DC,-,-,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,-,-,-,KTM-MNSTR,20.00
EL71503510,,SENSOR FOC,,-,COBE FOR TENSION CONTROL/-,-,ITALY/MARZOLI/FT6E,KTM-MNSTR,1.00
EL71503510,,SENSOR FOC,,-,DOUBLE FOTOC COBE/-,-,ITALY/MARZOLI/FT6E,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,GUN/-,-,CHINA/-/B 9589,KTM-MNSTR,9.00
EL71503510,,SENSOR FOC,,-,HALL/-,-,SCHLAFHORST/-/-,KTM-MNSTR,23.00
EL71503510,,SENSOR FOC,,-,INDUCTIVE PROXIMITY SWITCH TOP-BOTTOM ARM,-,TURKEY/ASTEKS/SF 201,KTM-MNSTR,1.00
EL71503510,,SENSOR FOC,,-,LOWER END/-,-,SCHLAFHORST/-/-,KTM-MNSTR,1.00
EL71503510,,SENSOR FOC,,-,M 12\SN 4MM/-,-,-,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,PHOTOELECTRIC/-,-,CHINA/-/B 9589,KTM-MNSTR,6.00
EL71503510,,SENSOR FOC,,-,"PNP/DIAMETER M12,  4MM",-,CHINA/-/B 9589,KTM-MNSTR,2.00
EL71503510,,SENSOR FOC,,-,PROXIMITY/-,-,TURKEY/ASTEKS/SF 201,KTM-MNSTR,3.00
